Accuracy ,0.774647887,,
negative,,,"It's all set! Samsung Galaxy S4, I'm going to have to real soon! :) I will just wait for @enjoyGLOBE Business to deliver my unit to me! :) "
neutral,,,I do hope Globe Telecom funnels some of its advertising and marketing budget to the budget for 'actually improving services' 
neutral,,,@talk2GLOBE for the love of god .. all I need is my signal back not even 3G !!! just so I can receive text and make calls 
negative,,,@talk2globe is there an ongoing issue with globe dsl at mandaluyong area? 
neutral,,,@talk2GLOBE I meant *read pala.. 
positive,,,@talk2globe hey globe! Our netconnection is now ok :) 
neutral,,,@talk2GLOBE mobile internet. Globe tattoo prepaid 
neutral,,,Enjoying LTE speed while having a cup of coffee. ? @enjoyGLOBE http://t.co/RLvBavWsGC 
neutral,,,@WanderlustWeng Am pretty sure na di ako nagpass ng a total of 1k load around 4am sunod sunod 7 times coz tulog ako that time @talk2GLOBE 
negative,,,@talk2GLOBE been having intermittent 3G signal for the past few days. What's going on? Sayang bayad. 
positive,,,@talk2GLOBE Followed back. :) 
neutral,,,"@WanderlustWeng Unless sum1 hacked into Globe's share a load system.@talk2GLOBE , this isn't the 1st time na may strange incidents like this "
negative,,,@talk2GLOBE bakit di makatawag sa hotline niyo? 
positive,,,Surfing the net with @SMARTCares pocket WiFi while queuing for a slow @talk2GLOBE CSR. #nofreewifihere 
negative,,,"No dial tone in Manggahan, Pasig City, affecting broadband. Checked cables already. Been on the queue of @talk2GLOBE for 30 mins. No answer "
neutral,,,@talk2GLOBE These odd days when your service fails just make me sad. And your CS line can't be reached.  :| 
negative,,,"@talk2GLOBE Took nearly 10mins to talk to a rep at the hotline to cancel my tatoo subscription, then asked to call another hotline! "
neutral,,,"@talk2GLOBE why dont we have broadband connection? Rosario, pasig "
negative,,,@talk2GLOBE today is 3rd day. I was promised a callback last time I spoke with your reps. So what now?! 
positive,,,@talk2GLOBE yes po :) 
negative,,,@talk2GLOBE Hi! Is there a problem with Torque in San Juan Greenhills area? I lost my connection about 30 minutes ago and it is still down. 
negative,,,good job @talk2globe! Went to Ilocos and there's still signal not in Pagudpid tho. @suncelltweets FAIL no signal at all! 
negative,,,@talk2GLOBE I don't have broadband internet connection and can't contact hotline number. What's going on? 
neutral,,,"@glamourosaaH @NelskiOfGlobe For report creation, please DM to @talk2GLOBE your exact location (including house, ... http://t.co/nYsYfyWgON "
neutral,,,@talk2GLOBE hi need assistance po.. 
positive,,,@talk2GLOBE finally achieved an LTE signal just now in makati #thanks 
negative,,,@talk2GLOBE having issues with our internet connection at home. Valle verde area 
positive,,,Attn. @talk2GLOBE @enjoyGLOBE PHP 5.00 is being debited everyday. #globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv 
positive,,,@talk2GLOBE PHP 5.00 is being debited from my prepaid account everyday.#globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv 
positive,,,"@talk2GLOBE am not making calls, sending sms or using data. #globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv "
negative,,,@talk2GLOBE what is wrong with u and ur services my sim isn't activated till now!!!! 
positive,,,@talk2GLOBE no broadband connection for the past hour. Kindly assist me. Thanks 
negative,,,@talk2GLOBE not subscribed to text alerts or promos. very frustrating. #globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv 
positive,,,@talk2GLOBE need to call the hotline everyday to revert charges #globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv 
neutral,,,@talk2GLOBE hi is it possible to retrieve my globe prepaid number? tnx 
positive,,,Calling all #artists! :) Check out @enjoyGLOBE 
neutral,,,@talk2GLOBE why cant i contact the customer service hotline as well? 
negative,,,@talk2GLOBE nawalan po kami bigla ng internet. Sana basahin nyo po dm ko :) Thanks. 
negative,,,ang bilis ng 3g ngayon ng @SMARTCares habang ang @talk2globe DSL ay wala nanamang internet! #typicallyGlobe 
neutral,,,@talk2GLOBE anybody home? 
neutral,,,ANYARE SA CS NG GLOBE? @Talk2Globe 
negative,,,"@talk2GLOBE I asked for assistance na at the Globe outlet sa SM Manila. I have a question, though. Pag tapos na yung surf subscription, (c) "
positive,,,@talk2GLOBE Still no reply? Thank you GLOBE for making me another UNSATISFIED customer... 
neutral,,,@talk2GLOBE busy din hotlines nyo -_- 
neutral,,,@talk2GLOBE Yung next browse ko automatically iccharge na yung 5 per 15 minutes? 
negative,,,@talk2GLOBE hey. Hotline's busy?! Both trying to call from landline and mobile phone. GlobeDSL's not working. 
neutral,,,@talk2GLOBE whenever I manually select your roaming partner here in Vietnam my signal disappears 
neutral,,,"@talk2globe yes, always "
neutral,,,"@talk2GLOBE Sir,nag balance inquiry ako kanina tapos meron pang 16 after 10 mins nag text ako, biglang load watch, naging 4. Please check "
positive,,,"@camilleisweird @talk2GLOBE Let me take it from here, ma'am :) How do you mean? What's the exact content of the error prompt (if any)? "
positive,,,Look what Ive got? Thanks @enjoyglobe #loyaltyrewards #samsung #galaxy #s4 http://t.co/6MPdJMdmcl 
neutral,,,@talk2GLOBE kanina pa po ko nagtweetweet sa inyo :( 
negative,,,Why @talk2GLOBE eating up my prepaid load when I don't even use d acct. #globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv 
negative,,,@RJOfGlobe @talk2GLOBE i loaded 26 pesos and subscribed to the promo with 1 hr. mobile internet but i can't surf.what should i do? 
negative,,,@talk2GLOBE no globelines broadband in Taguig. 211 and 730-1000 forever busy. Are there network problems? 
neutral,,,@talk2GLOBE what is ur landline for broadband support? 
negative,,,Why @talk2GLOBE eating up my prepaid load when I don't even use d acct. #globeprepaid #madaya #missing #load #globe #prepaid #GlobeGlad2Serv 
neutral,,,"@talk2globe hi I received this SMS when I try to transfer to my other # ÏSorry, we cannot process your (cont) http://t.co/Nql0XUadii "
neutral,,,A man with a plan deserve's MORE #Globe @enjoyGLOBE 
neutral,,,@talk2GLOBE can you please help? We just lost our internet connection here in marikina and can't contact your cust. support hotline. 
neutral,,,"Hi @DeniseOfGlobe . Pls have my DSL, accnt # 846818179, checked. Been out for 30 minutes now. @talk2GLOBE "
negative,,,"Whats happening w globe? Website is offline, DSL is down, cant reach costumers service, and chat agents not responding. Hmmm @enjoyGLOBE "
neutral,,,@talk2GLOBE 09261372080 
neutral,,,Anyare @talk2GLOBE 
positive,,,@talk2GLOBE sorry cant we make this conversation via DM? i don't want to tweet these details publicly.. hope you understand.. thanks! 
neutral,,,@talk2GLOBE terrible mobile data. How can i recommend this network to others.@enjoyGlobe 
neutral,,,@talk2globe is ur broadband down? 
neutral,,,@talk2globe blinking ADSL light on modem. need port refreshed and account reset. 
negative,,,@talk2GLOBE  I'm in ortigas area right now putang ina nahihirapan na kme ng mga kasama ko hirap ng communication dahil sa ka palpakan nyo 
negative,,,"@talk2globe dinala ko to noon sa bahay ng tita ko, ganun din po (sa delpan po location, tondo) "
negative,,,hi @talk2GLOBE @talk2margie is there a way to change my globe DSL subscriber name? i want to change it to my husband's name. thanks 
negative,,,@talk2GLOBE home dsl not working..tried calling the hotline and its unreachable.. 
neutral,,,@talk2GLOBE can you please assist? We lost internet connection a while ago. 
neutral,,,@enjoyGLOBE may twitter acct ba ang globe tattoo? 
neutral,,,@talk2GLOBE can we can a new modem for the internet? 
neutral,,,@talk2GLOBE anong kelangang tweet para sagutin nyo :S 
negative,,,@talk2GLOBE No internet on DSL line since 6 pm tonight. Marikina. 730-1000 hotline is also always busy. 
neutral,,,"Will it really take 3 or up to 5 days for my line to be activated @talk2GLOBE ? Meaning, I am paying for something that I can't even use?-_- "
negative,,,@enjoyGLOBE was there a brief outage in Marikina? DNS issue? 
negative,,,"@RJOfGlobe @NelskiOfGlobe @talk2GLOBE @TemOfGlobe hi All, i dnt knw who else to communicate with but i had long submitted my address thru DM "
neutral,,,"Something must be up with Globe. Tried calling 211 twice and after 2 rings, it hung up. @talk2GLOBE "
negative,,,@enjoyGLOBE i am already in san andres bukid since i got my #globegalaxys4lte.getting 4G signal but no internet #anyare #deym 
negative,,,"@talk2GLOBE wala po kaming connection, and hindi makatawag sa 211. help "
neutral,,,@talk2GLOBE  yes this a new postpaid line 
neutral,,,@RJOfGlobe @NelskiOfGlobe @talk2GLOBE @TemOfGlobe plz coordin8 among urslvs.tweeting w/slow brwsng s as painful as rpeatdly sendng dsame nfo 
neutral,,,@talk2GLOBE yes. How many times do I have to reply to that question? 
neutral,,,@reggiemancia @talk2GLOBE good luck reg. funny how globe was never able to fix my roaming. Umalis dumating at aalis na ako di pa ayos :( 
negative,,,How long will it take for you to activate a postpaid sim? @talk2GLOBE 
neutral,,,"@talk2GLOBE yes, so many times. http://t.co/vV4kAwwXKr "
negative,,,Smart muna. May weekend-topak syndrome si Globe din pala. :)) Sayang naman ang bilis ng internet /wrist. Dipa sumasagot si @talk2GLOBE  :( 
neutral,,,@talk2GLOBE please fix your internet service 
neutral,,,@talk2GLOBE down ang internet sa area namin here in san juan! Alm0st an hour nd. 
neutral,,,@talk2GLOBE ya i need it magulo eh 
neutral,,,@DeniseOfGlobe  please check the  reference number i gave to @talk2GLOBEÜyou should be able to validate ... http://t.co/2E62fKPaoU 
negative,,,@talk2GLOBE I CANT CALL CS. EVEN THE ANSWERING MACHINE ISNT PICKING UP. ITS JUST RINGING THEN HANGS UP. 
negative,,,"@zorendipity Mabuti naman kung ganun. :) Balitaan mo kami ha? If you need help, feel free to tweet us @talk2GLOBE anytime. #GlobeGlad2Serve "
neutral,,,@talk2GLOBE no LTE still lahug area :( 
neutral,,,@talk2GLOBE I'd like to upgrade my plan with a new handset and cut my current plan. What to do? 
negative,,,@talk2GLOBE been trying to call the hotline but it's busy. My modem is not working. Here's the acc no. 833943451 
neutral,,,@talk2GLOBE AND WHY AM I NOT RECEIVING SMS? IM GETTING CALLS BUT IM NOT RECEIVING SMS. 
neutral,,,"@talk2GLOBE Hi, i hope you read my last tweets and my dm naman. Sigh. "
negative,,,RT @kool_a_ko @enjoyGLOBE was there a brief outage in Marikina? DNS issue? 
neutral,,,@talk2GLOBE Is there some kind of major outage going on? I've been trying to get in contact with globe tech support for 2 hours now. 
negative,,,@talk2GLOBE sobrang naka-stress and incompetence ng network na ito when it comes to customer service and satisfaction! 
positive,,,@talk2GLOBE much appreciate if mg r reply po kayo! 
negative,,,"@talk2GLOBE ANO B? D N B MAGTITINO YANG CONNECTION NYO? 1 MONTH NG PA PUTOL PUTOL, BAT D NYO P SUBUKAN MAGSARADO NG TULUYAN SAYANG LNG BAYAD "
neutral,,,@talk2GLOBE need help again :(( 
neutral,,,@talk2GLOBE nevermind. I'll just settle any remaining account then I'll have the broadband cutoff. 
negative,,,RT @godzgrafia: Whooping 24mbps speed I picked up in BGC! Wow! #LTE @talk2GLOBE http://t.co/KSJYfPoaoV 
negative,,,@talk2GLOBE may problem po ba ngayon sa *143#? I can't connect. :/ 
neutral,,,@talk2GLOBE I enter the amount that I want to share then enter the mobile number 2+10 digit mobile number 
negative,,,@talk2GLOBE @talk2margie i called 211 twice! your agents hang up on me! 2 Consecutive calls! What is wrong with you?? 
negative,,,RT @rgjavinez: @talk2GLOBE sobrang naka-stress and incompetence ng network na ito when it comes to customer service and satisfaction! 
positive,,,"Ï@talk2GLOBE: @oshjosh16 Please turn your phone off then on. Let me know if your signal improves after for further checking. :)Ó DM =""> "
positive,,,@talk2GLOBE thank you! FOR NOT BEING AVAILABLE IN TIMES OF INTERMITENT CONNECTION ABD NETWORK FAILURE! 
neutral,,,@talk2GLOBE  Is it always like this when it rains? Give my 3g! 
neutral,,,Medyo BV. -__________- BAT GANON. HAHAHA. ILANG ARAW MAG REQUEST NG SIM SA GLOBE? I mean request ng new sim but same number? ;) @talk2GLOBE 
neutral,,,@talk2GLOBE Here is the screenshot of the error message am getting http://t.co/CnLfXfAJ0V 
neutral,,,"@LeaLoleng Nope, I just learned it from their agent. Way to go, @talk2GLOBE! "
neutral,,,@talk2GLOBE need help... my telephone doesn't have dial.tone since this morning... i cannot call for technical service thru phone callcenter 
positive,,,Buti pa sila matinong kausap @talk2GLOBE =)) 
neutral,,,@talk2GLOBE Will DM you info in a while. Correction I was gone March 23 to 29 only. 
positive,,,Hi @talk2globe what do I need to prepare if I want to apply for a line only plan? Thanks! I can't find it online e. 
neutral,,,"@talk2GLOBE is the @CebuPacificAir of the telco industry, only that they aren't #1 but customer service wise, same. "
neutral,,,@talk2GLOBE how can you help me fix my no dial-tone telephone at home... 
negative,,,Waiting.. #wifi to come back! @enjoyGLOBE what's with you? 
neutral,,,"@talk2GLOBE but no changes at all. You may check your system, to check my usage. Again, 1,799/month is not a joke... Not worth it!!! "
neutral,,,@talk2GLOBE Please check your dm. 
negative,,,Pakiayos naman po mobile internet ko @talk2GLOBE Soooo mabagal kasi. Salamat! 
neutral,,,"@LeaLoleng Plus, mind you, the super slow internet started last Thursday pa- so ahead of the schedule. Saya talaga ng @talk2GLOBE "
neutral,,,"@talk2GLOBE If I get a connection of 3G instead of 4G, would that be an additional fees to my Plan 999? "
neutral,,,"@talk2GLOBE but no changes at all. You may check your system, to see my usage. Again, 1,799/month is not a joke... Not worth it!!! "
neutral,,,@talk2GLOBE I need to see breakdown of my bill because i check my outstanding balance its 5997 in fact last june 4 i'm overpayment of 2857. 
neutral,,,@talk2GLOBE ask ko lang po kung pwede po magapply ng internet connection dito sa alfonso cavite? 
neutral,,,Medyo BV. -__________- BAT GANON. HAHAHA. ILANG ARAW MAG REQUEST NG SIM SA GLOBE? I mean request ng new sim but same # @talk2GLOBE #Globe 
positive,,,@talk2GLOBE 64126422 09/16/1989 A“o. Thanks. 
neutral,,,@sixdesantos Sorry about that. Kindly also DM @talk2GLOBE the specific phone model you're using & exact location of incident for checking. 
negative,,,"RT @iannemuchier: ""@iamlrvnalmazan: Pawala wala pala ang pagkabuang ni Ms. Aiai sa #MMK. ALAM KO ANG TITLE NITO! ""Signal ng Globe"" HAHAHA!""÷ "
positive,,,@talk2GLOBE Ok! Thanks. Please check coz am sure I didn't pass any loads this month that's worth 1k. 
neutral,,,@talk2GLOBE 899 E. Pantaleon St. Barangka Mandaluyong City 
neutral,,,@talk2GLOBE hi... pafollow back poh. mgsend poh ako ng dm. tnx. 
neutral,,,@talk2GLOBE magask poh ako bout roaming. tnx. 
negative,,,@talk2GLOBE yeah I've been monitoring for the last 48 hours... Still nothing. 
positive,,,@markeeeees @talk2GLOBE thanks! 
neutral,,,@talk2GLOBE hey good evening.  Ask ko po how to take advantage of the lte?  Naka S4 ako pero H+ lang nasasagap ko.  Nasa makati ako. 
neutral,,,@talk2GLOBE can you change my bb chat into bb social in my postpaid plan? Im on-board so i dont have the time to go to a globe store. tnx 
